actor_index,pagerank_score,degree,is_top100_director_collaborator
0,0.05074643340728321,4,1
1,0.04445462185407884,4,1
2,0.05074643340728321,4,1
3,0.04445462185407884,4,1
4,0.06368339272138224,8,1
5,0.03413803922089494,4,0
6,0.055590255685343266,6,1
7,0.0417064493549152,5,0
8,0.061252993466536905,5,0
9,0.034877043455201026,4,0
10,0.04226902307004253,5,1
11,0.03578602700819184,2,0
12,0.034877043455201026,4,0
13,0.035786027008191834,2,0
14,0.05882772132804137,5,1
15,0.08286338494888909,7,0
16,0.076147006877467,7,0
17,0.05882772132804136,5,1
18,0.03413803922089494,4,0
19,0.058827721328041364,5,1
